room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7561891,27381804,Private room,,Hastings-Sunrise,11,5.0,2,,42.0,2.0,49.279102,-123.03699,2016-11-23 01:55:43.685428
10145282,52067199,Private room,,Downtown,55,5.0,1,,30.0,1.0,49.273257,-123.113508,2016-11-23 01:55:32.729455
15524564,22786896,Shared room,,Downtown,0,,1,,27.0,,49.277503,-123.118285,2016-11-23 01:55:29.296652
12888823,42530190,Private room,,Renfrew-Collingwood,14,5.0,1,,27.0,1.0,49.237767,-123.044154,2016-11-23 01:55:20.930156
13174671,73238515,Private room,,Riley Park,8,4.5,2,,38.0,1.0,49.252983,-123.091821,2016-11-23 01:55:18.610283
179243,851779,Private room,,Mount Pleasant,350,5.0,2,,69.0,2.0,49.25813,-123.101767,2016-11-23 01:54:54.442594
13222227,74187143,Entire home/apt,,Grandview-Woodland,1,,2,,81.0,2.0,49.27422,-123.064519,2016-11-23 01:54:41.429132
14899008,34946930,Entire home/apt,,Mount Pleasant,7,5.0,2,,199.0,1.0,49.269395,-123.102011,2016-11-23 01:53:38.330672
7386921,38023767,Entire home/apt,,Kensington-Cedar Cottage,47,4.5,2,,49.0,2.0,49.252342,-123.081481,2016-11-23 01:53:34.739533
13240975,74401202,Entire home/apt,,Riley Park,2,,5,,161.0,,49.242353,-123.101646,2016-11-23 01:53:24.306949
11943606,2233330,Private room,,Renfrew-Collingwood,1,,2,,35.0,2.0,49.241052,-123.026336,2016-11-23 01:53:02.618251
125081,69746,Private room,,Grandview-Woodland,106,5.0,2,,54.0,3.0,49.267721,-123.065508,2016-11-23 01:52:45.433681
16002889,3022120,Private room,,Marpole,0,,2,,53.0,,49.215828,-123.130653,2016-11-23 01:52:21.046281
14163878,13041659,Private room,,West End,5,4.5,2,,114.0,1.0,49.292442,-123.139301,2016-11-23 01:52:16.976680
5836827,30301070,Entire home/apt,,Downtown,35,4.5,6,,613.0,4.0,49.278606,-123.108428,2016-11-23 01:52:11.302246
13332937,75470215,Private room,,West End,7,5.0,2,,58.0,2.0,49.291333,-123.141475,2016-11-23 01:52:05.542090
12765851,29867930,Entire home/apt,,Downtown,0,,2,,114.0,1.0,49.279438,-123.110487,2016-11-23 01:52:00.811270
7370206,38621728,Private room,,Kensington-Cedar Cottage,25,5.0,2,,34.0,2.0,49.250671,-123.065077,2016-11-23 01:51:28.976608
5594241,1577733,Entire home/apt,,Mount Pleasant,13,5.0,3,,76.0,5.0,49.261727,-123.111003,2016-11-23 01:51:06.866134
15868088,102862171,Entire home/apt,,Downtown Eastside,0,,3,,76.0,,49.282477,-123.102407,2016-11-23 01:50:50.807302
2076269,6329283,Private room,,Kensington-Cedar Cottage,6,4.0,1,,30.0,3.0,49.256115,-123.080684,2016-11-23 01:50:46.897112
7331118,38074259,Entire home/apt,,Downtown,31,4.5,3,,84.0,2.0,49.287195,-123.124534,2016-11-23 01:50:38.186289
14279637,17432571,Entire home/apt,,Kensington-Cedar Cottage,1,,4,,114.0,1.0,49.244023,-123.090091,2016-11-23 01:50:01.053755
14247519,86614448,Entire home/apt,,Downtown Eastside,7,5.0,2,,114.0,3.0,49.278486,-123.1009,2016-11-23 01:49:42.354537
4888430,25151201,Entire home/apt,,Mount Pleasant,77,5.0,2,,68.0,3.0,49.260586,-123.081793,2016-11-23 01:49:19.708221
9259030,9093699,Entire home/apt,,Hastings-Sunrise,81,4.5,4,,57.0,1.0,49.28936,-123.051863,2016-11-23 01:48:55.156533
6495155,31186229,Entire home/apt,,Fairview,44,4.5,3,,80.0,2.0,49.258913,-123.138264,2016-11-23 01:48:44.303796
15039464,87070133,Private room,,Shaughnessy,2,,2,,49.0,1.0,49.242606,-123.13972,2016-11-23 01:48:08.778435
13506315,67844175,Entire home/apt,,Downtown,3,5.0,10,,382.0,1.0,49.277487,-123.109888,2016-11-23 01:48:02.601887
15362635,65033973,Private room,,Downtown,6,5.0,2,,59.0,2.0,49.274133,-123.111383,2016-11-23 01:47:37.243334
5013228,7661312,Entire home/apt,,Kitsilano,0,,4,,111.0,1.0,49.266106,-123.14667,2016-11-23 01:47:00.397920
504154,2456973,Private room,,Shaughnessy,12,4.5,1,,83.0,3.0,49.257054,-123.131738,2016-11-23 01:46:53.167034
15822829,49710755,Entire home/apt,,Mount Pleasant,0,,2,,101.0,1.0,49.25874,-123.098777,2016-11-23 01:46:43.651188
4244379,21105939,Entire home/apt,,Downtown Eastside,39,5.0,3,,138.0,2.0,49.28185,-123.107568,2016-11-23 01:46:30.021067
13416108,16750396,Entire home/apt,,Downtown Eastside,29,5.0,4,,153.0,2.0,49.283956,-123.103181,2016-11-23 01:46:13.798897
7485529,8374150,Entire home/apt,,Downtown,83,5.0,4,,137.0,2.0,49.278557,-123.108032,2016-11-23 01:46:06.049366
13274735,74384371,Entire home/apt,,Grandview-Woodland,17,5.0,4,,68.0,3.0,49.266558,-123.069857,2016-11-23 01:45:55.174051
14358874,87837487,Private room,,Renfrew-Collingwood,13,4.5,2,,31.0,1.0,49.256089,-123.055537,2016-11-23 01:45:44.171213
