Ecoregion,Site,SurveyDate,Depth,Taxon
Ningaloo,Maud RZ1,2015,2,Thalassoma lunare
Ningaloo,Maud RZ1,2015,2,Thalassoma lunare
Ningaloo,Maud RZ1,2016,3,Thalassoma lunare
Ningaloo,Maud RZ1,2016,3,Thalassoma lunare
Ningaloo,Maud RZ1,2016,2.7,Thalassoma lunare
Ningaloo,Maud RZ1,2016,2.7,Thalassoma lunare
Ningaloo,Maud RZ1,2017,2,Thalassoma lunare
Ningaloo,Maud RZ1,2017,2,Thalassoma lunare
Ningaloo,Monck Head North,2015,1.6,Thalassoma lunare
Ningaloo,Monck Head North,2017,1.8,Thalassoma lunare
Ningaloo,Monck Head North,2017,2,Thalassoma lunare
Ningaloo,A & D s Dilemma,2010,2,Thalassoma lunare
Ningaloo,A & D s Dilemma,2010,2,Thalassoma lunare
Ningaloo,Point Maud Inner,2016,3,Thalassoma lunare
Ningaloo,Point Maud Inner,2016,3,Thalassoma lunare
Ningaloo,Point Maud Inner,2016,3.3,Thalassoma lunare
Ningaloo,Point Maud Inner,2017,4.1,Thalassoma lunare
Ningaloo,Point Maud Inner,2017,4.1,Thalassoma lunare
Ningaloo,Point Maud Inner,2017,3.6,Thalassoma lunare
Ningaloo,Point Maud Inner,2017,3.6,Thalassoma lunare
Ningaloo,Point Maud Inner,2017,3,Thalassoma lunare
Ningaloo,Kate s Corner,2010,2,Thalassoma lunare
Ningaloo,Kate s Corner,2010,2,Thalassoma lunare
Ningaloo,Kate s Corner,2010,2.1,Thalassoma lunare
Ningaloo,Kate s Corner,2010,2.1,Thalassoma lunare
Ningaloo,Yalobia Bommie,2012,5,Thalassoma lunare
Ningaloo,Yalobia Bommie,2012,6,Thalassoma lunare
Ningaloo,Yalobia Bommie,2012,6,Thalassoma lunare
Ningaloo,Yalobia Bommie,2015,9.8,Thalassoma lunare
Ningaloo,Cardabia Patch,2015,6,Thalassoma lunare
Ningaloo,Cardabia Patch,2015,6,Thalassoma lunare
Ningaloo,Cardabia Patch,2016,7,Thalassoma lunare
Ningaloo,Cardabia Patch,2016,7,Thalassoma lunare
Ningaloo,Cardabia Patch,2016,6.5,Thalassoma lunare
Ningaloo,Cardabia Patch,2016,6.5,Thalassoma lunare
Ningaloo,Cardabia Patch,2017,6.1,Thalassoma lunare
Ningaloo,Cardabia Patch,2017,6.1,Thalassoma lunare
Ningaloo,Cardabia Patch,2017,6.3,Thalassoma lunare
Ningaloo,Cardabia Patch,2017,6.3,Thalassoma lunare
Ningaloo,Monck Bowl,2015,5.1,Thalassoma lunare
Ningaloo,Monck Bowl,2015,4.7,Thalassoma lunare
Ningaloo,Monck Bowl,2015,4.7,Thalassoma lunare
Ningaloo,Monck Bowl,2015,5.5,Thalassoma lunare
Ningaloo,Monck Bowl,2015,5.5,Thalassoma lunare
Ningaloo,Monck Head Outer,2010,5,Thalassoma lunare
Ningaloo,Monck Head Outer,2010,5,Thalassoma lunare
Ningaloo,Monck Head Outer,2010,6,Thalassoma lunare
Ningaloo,Monck Head Outer,2010,6,Thalassoma lunare
Ningaloo,Bills Bay 1,2019,2.1,Thalassoma lunare
Ningaloo,Bills Bay 1,2019,2,Thalassoma lunare
Ningaloo,Bills Bay 1,2019,3,Thalassoma lunare
Ningaloo,Bills Bay 1,2019,3,Thalassoma lunare
Ningaloo,Bills Bay 1,2019,3.1,Thalassoma lunare
Ningaloo,Bills Bay 1,2019,3.1,Thalassoma lunare
Exmouth to Broome,Bundegi,2010,5,Thalassoma lunare
