room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
4224711,7004656,Entire home/apt,,Riley Park,8,5.0,4,1.0,76.0,4.0,49.247568,-123.090852,2016-06-20 00:42:54.540987
7127559,1855443,Private room,,Renfrew-Collingwood,10,5.0,2,1.0,36.0,1.0,49.257326,-123.028881,2016-06-20 00:42:22.142110
11258014,58750909,Entire home/apt,,West End,0,,2,0.0,64.0,7.0,49.283381,-123.130682,2016-06-20 00:42:16.700942
8535016,33227378,Private room,,Dunbar Southlands,11,5.0,1,1.0,29.0,1.0,49.233161,-123.182323,2016-06-20 00:41:58.913893
6599312,17507814,Entire home/apt,,Downtown,33,4.5,5,0.0,160.0,2.0,49.285231,-123.108778,2016-06-20 00:41:48.316324
6287288,20655634,Entire home/apt,,Riley Park,8,4.5,4,2.0,66.0,5.0,49.246328,-123.092014,2016-06-20 00:41:25.035115
8636862,3717965,Private room,,Riley Park,3,4.5,2,1.0,39.0,3.0,49.249862,-123.104806,2016-06-20 00:41:03.444128
8633555,33612893,Private room,,Mount Pleasant,0,,3,1.0,112.0,1.0,49.258576,-123.114235,2016-06-20 00:41:00.674113
13221151,74173728,Entire home/apt,,West End,0,,2,1.0,160.0,5.0,49.28154,-123.134524,2016-06-20 00:40:57.650533
11761305,2457537,Entire home/apt,,Downtown Eastside,18,4.5,3,1.0,121.0,,49.28002,-123.100541,2016-06-20 00:40:39.540985
10888677,45412043,Entire home/apt,,West End,28,5.0,4,1.0,96.0,1.0,49.282525,-123.136532,2016-06-20 00:40:35.688936
13344454,42388963,Entire home/apt,,Downtown,0,,6,2.0,260.0,1.0,49.27827,-123.11948,2016-06-20 00:40:25.557808
12985710,16190613,Entire home/apt,,Downtown,0,,2,0.0,79.0,3.0,49.276489,-123.115178,2016-06-20 00:40:05.877780
3859085,19854208,Private room,,Mount Pleasant,98,5.0,1,1.0,66.0,3.0,49.258947,-123.107238,2016-06-20 00:39:57.337604
9087650,44308433,Entire home/apt,,Downtown,43,5.0,4,2.0,159.0,1.0,49.280585,-123.123766,2016-06-20 00:39:41.750297
13451146,76818562,Entire home/apt,,West End,0,,2,1.0,118.0,1.0,49.284271,-123.139953,2016-06-20 00:39:24.673250
12973690,32228842,Entire home/apt,,Mount Pleasant,0,,2,1.0,100.0,1.0,49.259706,-123.097133,2016-06-20 00:39:07.608409
10145282,52067199,Private room,,Downtown,29,5.0,1,1.0,32.0,1.0,49.273397,-123.113044,2016-06-20 00:38:56.203799
3995606,12310952,Private room,,Marpole,30,4.5,1,1.0,24.0,2.0,49.209183,-123.13073,2016-06-20 00:38:53.164926
6870891,4338652,Entire home/apt,,Fairview,0,,4,2.0,159.0,6.0,49.263316,-123.136272,2016-06-20 00:38:28.638170
