room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
8538940,1311,44954344,Shared room,,Vancouver BC,,Dunbar Southlands,0,0.0,2,1.0,,391.0,,2017-06-11 19:52:23.268072,49.24139,-123.17148,0101000020E6100000C2FA3F87F9CA5EC06DCA15DEE59E4840
9051802,1311,18643300,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,306.0,,2017-06-11 19:52:21.874221,49.263225,-123.175918,0101000020E6100000C631923D42CB5EC0AB3E575BB1A14840
14427203,1311,75093232,Shared room,,Vancouver BC,,Grandview-Woodland,0,0.0,1,1.0,,192.0,,2017-06-11 19:52:20.594893,49.262306,-123.06216,0101000020E6100000A4C7EF6DFAC35EC0B5C5353E93A14840
14452478,1311,47665878,Shared room,,Vancouver BC,,Fairview,0,0.0,1,1.0,,168.0,,2017-06-11 19:52:19.785500,49.263327,-123.132609,0101000020E6100000F08975AA7CC85EC0AF93FAB2B4A14840
14632671,1311,90836371,Shared room,,Vancouver BC,,Downtown,6,5.0,6,1.0,,172.0,,2017-06-11 19:52:19.783171,49.279162,-123.112267,0101000020E6100000E25AED612FC75EC09A249694BBA34840
14360802,1311,88056646,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,153.0,,2017-06-11 19:52:19.780754,49.271287,-123.151677,0101000020E61000008CA37213B5C95EC03C6A4C88B9A24840
14372272,1311,2392174,Shared room,,Vancouver BC,,Mount Pleasant,0,0.0,1,1.0,,153.0,,2017-06-11 19:52:19.776597,49.262802,-123.110146,0101000020E610000041F2CEA10CC75EC065A9F57EA3A14840
6863140,1311,31253707,Shared room,,Vancouver BC,,Downtown,0,0.0,1,1.0,,109.0,,2017-06-11 19:52:17.357507,49.285572,-123.120341,0101000020E61000008CD7BCAAB3C75EC0A053909F8DA44840
8607688,1311,45284490,Shared room,,Vancouver BC,,Kensington-Cedar Cottage,0,0.0,1,1.0,,114.0,,2017-06-11 19:52:17.354631,49.25436,-123.089855,0101000020E610000074982F2FC0C55EC08DB454DE8EA04840
8169348,1311,43115473,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,114.0,,2017-06-11 19:52:17.352041,49.261648,-123.164147,0101000020E6100000232F6B6281CA5EC02B8881AE7DA14840
8426843,1311,44378140,Shared room,,Vancouver BC,,Fairview,0,0.0,1,1.0,,114.0,,2017-06-11 19:52:17.349246,49.259338,-123.125987,0101000020E6100000272EC72B10C85EC0164ED2FC31A14840
6452439,1311,29468683,Shared room,,Vancouver BC,,Downtown,6,4.5,2,1.0,,121.0,,2017-06-11 19:52:17.344838,49.27477,-123.116545,0101000020E6100000CAE0287975C75EC001F6D1A92BA34840
17911210,1311,1522256,Shared room,,Vancouver BC,,Downtown Eastside,4,5.0,2,1.0,,91.0,,2017-06-11 19:52:16.087876,49.282813,-123.107483,0101000020E610000010786000E1C65EC01BF1643733A44840
14200024,1311,86143828,Shared room,,Vancouver BC,,Downtown,0,0.0,1,1.0,,85.0,,2017-06-11 19:52:16.085419,49.276025,-123.126622,0101000020E6100000103D29931AC85EC06FF085C954A34840
8224016,1311,39600328,Shared room,,Vancouver BC,,Fairview,0,0.0,1,1.0,,92.0,,2017-06-11 19:52:16.082787,49.260354,-123.135661,0101000020E6100000EE9579ABAEC85EC0FFB0A54753A14840
14524830,1311,43115473,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,93.0,,2017-06-11 19:52:16.079659,49.263284,-123.165686,0101000020E6100000ECD973999ACA5EC0B0C7444AB3A14840
4720823,1311,24386362,Shared room,,Vancouver BC,,West End,0,0.0,2,1.0,,93.0,,2017-06-11 19:52:16.076393,49.277513,-123.133836,0101000020E6100000C2C1DEC490C85EC0809BC58B85A34840
13641070,1311,79060770,Shared room,,Vancouver BC,,Riley Park,2,0.0,4,1.0,,100.0,,2017-06-11 19:52:16.072733,49.254428,-123.106758,0101000020E610000087A5811FD5C65EC0E597C11891A04840
2586832,1311,13245485,Shared room,,Vancouver BC,,Renfrew-Collingwood,0,0.0,1,1.0,,78.0,,2017-06-11 19:52:14.489412,49.250126,-123.038356,0101000020E6100000BE66B96C74C25EC08DF0F62004A04840
10524426,1311,611238,Shared room,,Vancouver BC,,West End,12,4.5,2,1.0,,76.0,,2017-06-11 19:52:14.486007,49.28171,-123.140913,0101000020E610000033A5F5B704C95EC0637AC2120FA44840
8614573,1311,45317404,Shared room,,Vancouver BC,,Killarney,0,0.0,1,1.0,,76.0,,2017-06-11 19:52:14.483444,49.222055,-123.026217,0101000020E61000005A66118AADC15EC0E674594C6C9C4840
10317861,1311,53091063,Shared room,,Vancouver BC,,Downtown Eastside,0,0.0,1,1.0,,76.0,,2017-06-11 19:52:14.476686,49.283102,-123.106427,0101000020E6100000541A31B3CFC65EC052B7B3AF3CA44840
17448786,1311,9194787,Shared room,,Vancouver BC,,Arbutus Ridge,0,0.0,1,1.0,,72.0,,2017-06-11 19:52:14.473708,49.250127,-123.168393,0101000020E610000005F86EF3C6CA5EC05D6C5A2904A04840
6974378,1311,36570213,Shared room,,Vancouver BC,,Fairview,22,5.0,1,1.0,,73.0,,2017-06-11 19:52:14.470225,49.265948,-123.134566,0101000020E6100000D449B6BA9CC85EC0E33785950AA24840
8207953,1311,24835523,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,69.0,,2017-06-11 19:52:14.464580,49.266979,-123.146911,0101000020E61000000D1B65FD66C95EC001DC2C5E2CA24840
8403496,1311,43296991,Shared room,,Vancouver BC,,West End,0,0.0,2,1.0,,76.0,,2017-06-11 19:52:14.461625,49.278164,-123.131346,0101000020E6100000779D0DF967C85EC05776C1E09AA34840
18632881,1311,826171,Shared room,,Vancouver BC,,West End,2,0.0,1,1.0,,65.0,,2017-06-11 19:52:14.458890,49.285932,-123.135314,0101000020E6100000382C0DFCA8C85EC0A070766B99A44840
10224522,1311,29582,Shared room,,Vancouver BC,,Downtown,2,0.0,2,1.0,,69.0,,2017-06-11 19:52:14.455744,49.273798,-123.117669,0101000020E610000032B08EE387C75EC0E8DA17D00BA34840
4465499,1311,1198056,Shared room,,Vancouver BC,,Strathcona,26,5.0,2,1.0,,67.0,,2017-06-11 19:52:14.452677,49.267667,-123.09741,0101000020E61000006A1327F73BC65EC0F69B89E942A24840
6767893,1311,16331238,Shared room,,Vancouver BC,,Mount Pleasant,16,5.0,2,1.0,,44.0,,2017-06-11 19:52:12.404917,49.270995,-123.1023,0101000020E61000005F984C158CC65EC09430D3F6AFA24840
8170040,1311,43118605,Shared room,,Vancouver BC,,Grandview-Woodland,0,0.0,1,1.0,,45.0,,2017-06-11 19:52:12.400874,49.275476,-123.057329,0101000020E610000031074147ABC35EC09C6A2DCC42A34840
18794056,1311,63532318,Shared room,,Vancouver BC,,Grandview-Woodland,0,0.0,4,1.0,,49.0,,2017-06-11 19:52:12.392317,49.27019,-123.075168,0101000020E61000002B6D718DCFC45EC066DAFE9595A24840
10393465,1311,47343664,Shared room,,Vancouver BC,,Kitsilano,0,0.0,1,1.0,,44.0,,2017-06-11 19:52:12.386237,49.2622,-123.161834,0101000020E61000006058FE7C5BCA5EC06F8104C58FA14840
15109038,1311,1713275,Shared room,,Vancouver BC,,West End,3,4.5,1,1.0,,54.0,,2017-06-11 19:52:12.378801,49.28759,-123.140405,0101000020E610000079CC4065FCC85EC00D54C6BFCFA44840
